IP,Ident,User,Date,Time,Method,Resource,Protocol,Status,Bytes
95.82.59.254,-,-,19/May/2015,03:05:37,GET,/reset.css,HTTP/1.1,200,1015
95.82.59.254,-,-,19/May/2015,03:05:19,GET,/images/jordan-80.png,HTTP/1.1,200,6146
95.82.59.254,-,-,19/May/2015,04:05:18,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
180.153.236.175,-,-,19/May/2015,04:05:08,GET,/articles/dynamic-dns-with-dhcp/,HTTP/1.1,200,18848
180.76.5.152,-,-,19/May/2015,04:05:51,GET,/files/hello/?C=S;O=A,HTTP/1.1,200,1127
217.26.210.20,-,-,19/May/2015,04:05:57,GET,/wordpress/wp-admin/,HTTP/1.1,404,299
46.105.14.53,-,-,19/May/2015,04:05:24,GET,/blog/tags/puppet?flav=rss20,HTTP/1.1,200,14872
36.37.235.225,-,-,19/May/2015,04:05:29,GET,/images/googledotcom.png,HTTP/1.1,200,65748
37.115.186.244,-,-,19/May/2015,04:05:16,POST,/blog/geekery/xvfb-firefox,HTTP/1.0,200,10975
111.69.99.101,-,-,19/May/2015,04:05:24,GET,/presentations/logstash-scale11x/images/ahhh___rage_face_by_samusmmx-d5g5zap.png,HTTP/1.1,200,175208
85.254.143.114,-,-,19/May/2015,04:05:57,GET,/projects/xdotool/xdotool.xhtml,HTTP/1.1,200,50112
85.254.143.114,-,-,19/May/2015,04:05:58,GET,/favicon.ico,HTTP/1.1,200,3638
41.74.172.23,-,-,19/May/2015,04:05:02,GET,/articles/dynamic-dns-with-dhcp/,HTTP/1.1,200,18848
41.74.172.23,-,-,19/May/2015,04:05:29,GET,/reset.css,HTTP/1.1,200,1015
41.74.172.23,-,-,19/May/2015,04:05:04,GET,/style2.css,HTTP/1.1,200,4877
41.74.172.23,-,-,19/May/2015,04:05:38,GET,/images/jordan-80.png,HTTP/1.1,200,6146
41.74.172.23,-,-,19/May/2015,04:05:26,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
41.74.172.23,-,-,19/May/2015,04:05:01,GET,/favicon.ico,HTTP/1.1,200,3638
24.11.96.184,-,-,19/May/2015,04:05:49,GET,/files/xdotool/docs/html/xdo_8h.html,HTTP/1.1,200,145776
46.105.14.53,-,-,19/May/2015,04:05:27,GET,/blog/tags/puppet?flav=rss20,HTTP/1.1,200,14872
106.187.34.32,-,-,19/May/2015,04:05:33,GET,/projects/xdotool,HTTP/1.1,301,339
106.187.34.32,-,-,19/May/2015,04:05:03,GET,/projects/xdotool/,HTTP/1.1,200,12292
106.187.34.32,-,-,19/May/2015,04:05:33,GET,/reset.css,HTTP/1.1,200,1015
106.187.34.32,-,-,19/May/2015,04:05:04,GET,/style2.css,HTTP/1.1,200,4877
106.187.34.32,-,-,19/May/2015,04:05:53,GET,/images/jordan-80.png,HTTP/1.1,200,6146
106.187.34.32,-,-,19/May/2015,04:05:56,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
188.205.61.177,-,-,19/May/2015,04:05:59,GET,/projects/xdotool/,HTTP/1.1,200,12292
188.205.61.177,-,-,19/May/2015,04:05:26,GET,/reset.css,HTTP/1.1,200,1015
188.205.61.177,-,-,19/May/2015,04:05:36,GET,/style2.css,HTTP/1.1,200,4877
188.205.61.177,-,-,19/May/2015,04:05:22,GET,/images/jordan-80.png,HTTP/1.1,200,6146
188.205.61.177,-,-,19/May/2015,04:05:27,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
188.205.61.177,-,-,19/May/2015,04:05:56,GET,/favicon.ico,HTTP/1.1,200,3638
193.105.0.2,-,-,19/May/2015,04:05:19,GET,/presentations/logstash-scale11x/images/logstash.png,HTTP/1.1,200,47731
95.128.40.244,-,-,19/May/2015,04:05:09,GET,/projects/xdotool/,HTTP/1.1,200,12292
50.16.19.13,-,-,19/May/2015,04:05:38,GET,/blog/tags/puppet?flav=rss20,HTTP/1.1,200,14872
74.125.40.23,-,-,19/May/2015,04:05:48,GET,/?flav=rss20,HTTP/1.1,200,29941
198.46.149.143,-,-,19/May/2015,04:05:58,GET,/blog/geekery/disabling-battery-in-ubuntu-vms.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+semicomplete%2Fmain+%28semicomplete.com+-+Jordan+Sissel%29,HTTP/1.1,200,9316
